abandonar,tr. Dejar solo algo o a alguien alejándose de o dejando de cuidarlo
abecedario,m. Serie ordenada de las letras de un idioma
abeja,f. Insecto himenóptero de unos quince milímetros de largo de color pardo negruzco y vello rojizo que vive en colonias y produce cera y miel
abismal,adj. Perteneciente o relativo al abismo
ablandar,tr. Poner blando algo U. t. c. prnl.
abominable,adj. Digno de ser abominado
abrir,tr. Descubrir o hacer patente lo que está cerrado u oculto   U. t. c. prnl.
acceder,intr. Consentir en lo que alguien solicita o quiere
accionar,tr. Poner en funcionamiento un mecanismo o parte de él dar movimiento
acelerar,tr. Dar celeridad U. t. c. prnl.
aceptar,tr. Recibir voluntariamente o sin oposición lo que se da ofrece o encarga
admirar,tr. Causar sorpresa la vista o consideración de algo extraordinario o inesperado
admitir,tr. aceptar recibir voluntariamente
adorable,adj. Digno de adoración
adornar,tr. Engalanar con adornos U. t. c. prnl.
afeitar,tr. Cortar a alguien a ras de la piel la barba el bigote o el pelo de cualquier parte del cuerpo  U. m. c. prnl. refl.
afilar,tr. Sacar filo o hacer más delgado o agudo el de un arma o instrumento
aguacate,m. Árbol de de la familia de las lauráceas de ocho a diez metros de altura con hojas alternas coriáceas siempre verdes flores dioicas y fruto comestible
alegre,adj. Poseído o lleno de alegría Juan
alimentar,tr. Dar alimento a un ser vivo
altura,f. Distancia vertical de un cuerpo a la superficie de la tierra o a cualquier otra superficie tomada como referencia
ambulancia,f. Vehículo destinado al transporte de heridos y enfermos y de elementos de cura y auxilio
amigable,adj. Dicho de una persona Afable inclinada a la amistad
ancla,f. Instrumento de hierro formado por una barra de la que salen unos ganchos que unido a una cadena se lanza al fondo del agua para sujetar la embarcación U. t. en sent. fig.
angustia,f. Aflicción congoja ansiedad
anillo,m. Aro pequeño
ansiedad,f. Estado de agitación inquietud o zozobra del ánimo
antena,f. Apéndice sensorial par de la cabeza de los artrópodos
anteojo,m. Instrumento óptico que mediante un tubo con dos lentes situadas en sus extremos amplía las imágenes de los objetos lejanos
antorcha,f. Utensilio para alumbrar consistente en un leño resinoso un haz de mechas de esparto u otro objeto semejante que impregnado en alquitrán u otra materia combustible arde por un extremo mientras se puede agarrar con la mano por el otro
aplicar,tr. Poner algo sobre otra cosa o en contacto de otra cosa
aprender,tr. Adquirir el conocimiento de algo por medio del estudio o de la experiencia U. t. c. intr.
aprovechar,tr. Emplear útilmente algo hacerlo provechoso o sacarle el máximo rendimiento
araña,f. Arácnido con tráqueas en forma de bolsas comunicantes con el exterior con cefalotórax cuatro pares de patas y en la boca un par de uñas venenosas y otro de apéndices o palpos que en los machos sirven para la cópula En el extremo del abdomen tiene el ano y las hileras u órganos productores de la seda con la que tapiza su vivienda caza sus presas y se traslada de un lugar a otro
archivo,m. Conjunto ordenado de documentos que una persona una sociedad una institución etc., producen en el ejercicio de sus funciones o actividades
arder,intr. Sufrir la acción del fuego
arquitectura,f. Arte de proyectar y construir edificios
arrojar,tr. Impeler con violencia algo de modo que recorra una distancia movido por el impulso que ha recibido
arroyo,m. Caudal corto de agua casi continuo
artesanal,adj. artesano perteneciente a la artesanía
asentir,intr. Admitir como cierto o conveniente lo que otra persona ha afirmado o propuesto antes
asistir,tr. Acompañar a alguien en un acto público
atrapar,tr. Coger a quien huye o va deprisa
automóvil,adj. Que se mueve por sí mismo Dicho principalmente de los vehículos que pueden ser guiados para marchar por una vía ordinaria sin necesidad de carriles y llevan un motor generalmente de combustión interna o eléctrico que los propulsa U. m. c. s. m.
avisar,tr. Dar noticia de algún hecho
ayudar,tr. Prestar cooperación
añadir,tr. Agregar incorporar algo a otra cosa
babor,m. Lado izquierdo de una embarcación mirando de popa a proa y por ext., de un avión u otra aeronave
babucha,f. Calzado ligero y sin talón usado principalmente en países orientales y del norte de
bacalao,m. Pez teleósteo anacanto de cuerpo simétrico con tres aletas dorsales y dos anales y una barbilla en la sínfisis de la mandíbula inferior
bachata,f. Canto popular dominicano
balanza,f. Aparato que sirve para pesar
bechamel,f. besamel.
belleza,f. Cualidad de bello
berberecho,m. Molusco bivalvo de unos cuatro centímetros de largo y conchas estriadas casi circulares que vive enterrado en la arena y es muy apreciado como comestible
berenjena,f. Planta anual de la familia de las solanáceas de a cm de altura ramosa con hojas grandes aovadas de color verde casi cubiertas de un polvillo blanco y llenas de aguijones flores grandes y de color morado y fruto aovado de diez a doce centímetros de largo cubierto por una película morada y lleno de una pulpa blanca dentro de la cual están las semillas
betabel,m. Méx. remolacha.
bicarbonato,m. Quím. Sal ácida del ácido carbónico
bicho,m. coloq. Animal pequeño especialmente un insecto
bilirrubina,f. Fisiol. Pigmento biliar de color amarillo
bimestre,adj. p. us. bimestral.
bisagra,f. Herraje de dos piezas con un eje común que sirve para unir dos superficies permitiendo el giro de ambas o de una sobre la otra
bizcocho,m. Dulce blando y esponjoso hecho generalmente con harina huevos y azúcar que se cuece en el horno
boceto,m. Proyecto o apunte general previo a la ejecución de una obra artística
bocina,f. Instrumento de forma cónica con el que se refuerza el sonido emitido muy útil para hablar desde lejos
borceguí,m. Calzado que llegaba hasta más arriba del tobillo abierto por delante y que se ajustaba por medio de correas o cordones
botarate,m. y f. Persona alborotada y de poco juicio U. t. c. adj.
botella,f. Recipiente de cristal vidrio plástico u otro material con el cuello estrecho que sirve para contener líquidos
buitre,m. Ave rapaz de cerca de dos metros de envergadura con el cuello desnudo rodeado de un collar de plumas largas estrechas y flexibles cuerpo leonado remeras oscuras y una faja blanca a través de cada ala que se alimenta de carne muerta y vive en bandadas
bulbo,m. Yema gruesa por lo común subterránea cuyas hojas están cargadas con sustancias de reserva
bulimia,f. Gana insaciable de comer
bullicio,m. Ruido y rumor que causa la concurrencia de mucha gente
bulón,m. Mec. Pieza cilíndrica que se utiliza como pasador o perno para unir dos elementos
calabaza,f. calabacera planta
calavera,f. Conjunto de los huesos de la cabeza mientras permanecen unidos pero despojados de la carne y de la piel
calendario,m. Sistema de representación del paso de los días agrupados en unidades superiores como semanas meses años etc.
camaleón,m. Reptil saurio de cuerpo comprimido cola prensil y ojos de movimiento independiente Se alimenta de insectos que caza con su lengua larga y pegajosa y posee la facultad de cambiar de color según las condiciones ambientales
camino,m. Tierra hollada por donde se transita habitualmente
canción,f. Composición que se canta o hecha a propósito para que se le pueda poner música
